ID_by_SFP	ID_site	Period	Site
1	DM_01	500-1000AD	Dia Mara
2	DM_02	500-1000AD	Dia Mara
3	DM_03 1000-1600AD	Dia Mara
4	DM_04	1000-1600AD	Dia Mara
5	DM_05	1000-1600AD	Dia Mara
6	DM_06	1000-1600AD	Dia Mara
7	DM_07	1000-1600AD	Dia Mara
1	DS_01	800-200BC	Dia Shoma
2	DS_02	800-200BC	Dia Shoma
3	DS_03	800-200BC	Dia Shoma
4	DS_04	800-200BC	Dia Shoma
5	DS_05	800-200BC	Dia Shoma
6	DS_06	800-200BC	Dia Shoma
7	DS_07	800-200BC	Dia Shoma
8	DS_08	800-200BC	Dia Shoma
9	DS_09	800-200BC	Dia Shoma
10	DS_10	800-200BC	Dia Shoma
11	DS_11	1000-1600AD	Dia Shoma
12	DS_12	1000-1600AD	Dia Shoma
13	DS_13	1000-1600AD	Dia Shoma
14	DS_14	1000-1600AD	Dia Shoma
1	JJ_01	250BC-350AD	Jenne-jeno
2	JJ_02	250BC-350AD	Jenne-jeno
3	JJ_03	250BC-350AD	Jenne-jeno
4	JJ_04	250BC-350AD	Jenne-jeno
5	JJ_05	250BC-350AD	Jenne-jeno
6	JJ_06	250BC-350AD	Jenne-jeno
7	JJ_07	250BC-350AD	Jenne-jeno
8	JJ_08	250BC-350AD	Jenne-jeno
9	JJ_09	250BC-350AD	Jenne-jeno
10	JJ_10	250BC-350AD	Jenne-jeno
11	JJ_11	250BC-350AD	Jenne-jeno
12	JJ_12	250BC-350AD	Jenne-jeno
13	JJ_13	350-850AD	Jenne-jeno
14	JJ_14	350-850AD	Jenne-jeno
15	JJ_15	350-850AD	Jenne-jeno
16	JJ_16	350-850AD	Jenne-jeno
17	JJ_17	350-850AD	Jenne-jeno
18	JJ_18	350-850AD	Jenne-jeno
19	JJ_19	350-850AD	Jenne-jeno
20	JJ_20	350-850AD	Jenne-jeno
21	JJ_21	350-850AD	Jenne-jeno
22	JJ_22	350-850AD	Jenne-jeno
23	JJ_23	350-850AD	Jenne-jeno
24	JJ_24	350-850AD	Jenne-jeno
25	JJ_25	350-850AD	Jenne-jeno
26	JJ_26	350-850AD	Jenne-jeno
27	JJ_27	350-850AD	Jenne-jeno
28	JJ_28	350-850AD	Jenne-jeno
29	JJ_29	350-850AD	Jenne-jeno
30	JJ_30	350-850AD	Jenne-jeno
31	JJ_31	850-1400AD	Jenne-jeno
32	JJ_32	850-1400AD	Jenne-jeno
33	JJ_33	850-1400AD	Jenne-jeno
34	JJ_34	850-1400AD	Jenne-jeno
35	JJ_35	850-1400AD	Jenne-jeno
36	JJ_36	850-1400AD	Jenne-jeno
37	JJ_37	850-1400AD	Jenne-jeno
38	JJ_38	850-1400AD	Jenne-jeno
39	JJ_39	850-1400AD	Jenne-jeno
40	JJ_40	850-1400AD	Jenne-jeno
41	JJ_41	850-1400AD	Jenne-jeno
42	JJ_42	850-1400AD	Jenne-jeno
43	JJ_43	850-1400AD	Jenne-jeno
44	JJ_44	850-1400AD	Jenne-jeno
45	JJ_45	850-1400AD	Jenne-jeno
46	JJ_46	850-1400AD	Jenne-jeno
47	JJ_47	850-1400AD	Jenne-jeno
48	JJ_48	850-1400AD	Jenne-jeno
49	JJ_49	850-1400AD	Jenne-jeno
50	JJ_50	850-1400AD	Jenne-jeno
51	JJ_51	850-1400AD	Jenne-jeno
52	JJ_52	850-1400AD	Jenne-jeno
53	JJ_53	850-1400AD	Jenne-jeno
54	JJ_54	850-1400AD	Jenne-jeno
55	JJ_55	850-1400AD	Jenne-jeno
56	JJ_56	350-850AD	Jenne-jeno
57	JJ_57	850-1400AD	Jenne-jeno
58	JJ_58	350-850AD	Jenne-jeno
59	JJ_59	350-850AD	Jenne-jeno
60	JJ_60	350-850AD	Jenne-jeno
61	JJ_61	350-850AD	Jenne-jeno
62	JJ_62	350-850AD	Jenne-jeno
63	JJ_63	850-1400AD	Jenne-jeno
64	JJ_64	850-1400AD	Jenne-jeno
65	JJ_65	850-1400AD	Jenne-jeno
66	JJ_66	850-1400AD	Jenne-jeno
1	KN_01	300-440AD	KNTII
2	KN_02	300-440AD	KNTII
3	KN_03	300-440AD	KNTII
4	KN_04	300-440AD	KNTII
5	KN_05	300-440AD	KNTII
6	KN_06	300-440AD	KNTII
7	KN_07	300-440AD	KNTII
8	KN_08	300-440AD	KNTII
9	KN_09	300-440AD	KNTII
10	KN_10	300-440AD	KNTII
11	KN_11	300-440AD	KNTII
12	KN_12	300-440AD	KNTII
13	KN_13	440-640AD	KNTII
14	KN_14	540-605AD	KNTII
15	KN_15	300-440AD	KNTII
16	KN_16	440-640AD	KNTII
17	KN_17	605-680AD	KNTII
18	KN_18	300-440AD	KNTII
19	KN_19	605-680AD	KNTII
20	KN_20	300-440AD	KNTII
21	KN_21	300-440AD	KNTII
22	KN_22	300-440AD	KNTII
23	KN_23	605-680AD	KNTII
24	KN_24	605-680AD	KNTII
25	KN_25	605-680AD	KNTII
26	KN_26	540-605AD	KNTII
27	KN_27	300-440AD	KNTII
28	KN_28	300-440AD	KNTII
29	KN_29	440-605AD	KNTII
30	KN_30	440-605AD	KNTII
31	KN_31	300-440AD	KNTII
32	KN_32	605-680AD	KNTII
33	KN_33	440-640AD	KNTII
34	KN_34	605-680AD	KNTII
35	KN_35	300-440AD	KNTII
36	KN_36	300-440AD	KNTII
37	KN_37	300-440AD	KNTII
38	KN_38	300-440AD	KNTII
39	KN_39	300-440AD	KNTII
40	KN_40	300-440AD	KNTII
41	KN_41	300-440AD	KNTII
42	KN_42	300-440AD	KNTII
43	KN_43	300-440AD	KNTII
44	KN_44	300-440AD	KNTII
45	KN_45	300-440AD	KNTII
46	KN_46	605-680AD	KNTII
47	KN_47	440-640AD	KNTII
1	KO_01	4230-3820BC	Korounkorokale
2	KO_02	4230-3820BC	Korounkorokale
3	KO_03	890-1160AD	Korounkorokale
4	KO_04	890-1160AD	Korounkorokale
1	OU_01	pre-9400BC	Ounjougou
2	OU_02	2700-2020BC	Ounjougou
3	OU_03	2700-2020BC	Ounjougou
4	OU_04	1800-800BC	Ounjougou
5	OU_05	1800-800BC	Ounjougou
6	OU_06	1800-800BC	Ounjougou
7	OU_07	1800-800BC	Ounjougou
8	OU_08	1800-800BC	Ounjougou
1	TI_01	500-100BC	Timbuktu
2	TI_02	500-100BC	Timbuktu
3	TI_03	650-770AD	Timbuktu
4	TI_04	650-770AD	Timbuktu
5	TI_05	650-770AD	Timbuktu
6	TI_06	650-770AD	Timbuktu
7	TI_07	650-770AD	Timbuktu
8	TI_08	650-770AD	Timbuktu
9	TI_09	650-770AD	Timbuktu
10	TI_10	770-1000AD	Timbuktu
11	TI_11	770-1000AD	Timbuktu
12	TI_12	770-1000AD	Timbuktu
13	TI_13	770-1000AD	Timbuktu
14	TI_14	770-1000AD	Timbuktu
15	TI_15	770-1000AD	Timbuktu
16	TI_16	770-1000AD	Timbuktu
17	TI_17	770-1000AD	Timbuktu
18	TI_18	770-1000AD	Timbuktu
19	TI_19	770-1000AD	Timbuktu
20	TI_20	770-1000AD	Timbuktu
21	TI_21	770-1000AD	Timbuktu
22	TI_22	770-1000AD	Timbuktu
23	TI_23	770-1000AD	Timbuktu
24	TI_24	770-1000AD	Timbuktu
25	TI_25	770-1000AD	Timbuktu
26	TI_26	770-1000AD	Timbuktu
27	TI_27	770-1000AD	Timbuktu
28	TI_28	770-1000AD	Timbuktu
29	TI_29	770-1000AD	Timbuktu
1	TB_01	1295-1430AD	Toubel
2	TB_02	1295-1430AD	Toubel
3	TB_03	1295-1430AD	Toubel
4	TB_04	1295-1430AD	Toubel
5	TB_05	1295-1430AD	Toubel
6	TB_06	1295-1430AD	Toubel
7	TB_07	1295-1430AD	Toubel
8	TB_08	1295-1430AD	Toubel
9	TB_09	1295-1430AD	Toubel
10	TB_10	1295-1430AD	Toubel
11	TB_11	1295-1430AD	Toubel
12	TB_12	1295-1430AD	Toubel
13	TB_13	1295-1430AD	Toubel
1	WK_01	NA	Winde Koroji
2	WK_02	NA	Winde Koroji
3	WK_03	NA	Winde Koroji
4	WK_04	NA	Winde Koroji
5	WK_05	NA	Winde Koroji
6	WK_06	NA	Winde Koroji
7	WK_07	NA	Winde Koroji
8	WK_08	NA	Winde Koroji
9	WK_09	NA	Winde Koroji
10	WK_10	NA	Winde Koroji
11	WK_11	NA	Winde Koroji
12	WK_12	NA	Winde Koroji
13	WK_13	NA	Winde Koroji
14	WK_14	NA	Winde Koroji
15	WK_15	NA	Winde Koroji
16	WK_16	NA	Winde Koroji
17	WK_17	NA	Winde Koroji
1	DT_01	NA	Dhar Tichitt
2	DT_02	NA	Dhar Tichitt
3	DT_03	NA	Dhar Tichitt
4	DT_04	NA	Dhar Tichitt
5	DT_05	NA	Dhar Tichitt
6	DT_06	NA	Dhar Tichitt
7	DT_07	NA	Dhar Tichitt
8	DT_08	NA	Dhar Tichitt
9	DT_09	NA	Dhar Tichitt
10	DT_10	NA	Dhar Tichitt
11	DT_11	NA	Dhar Tichitt
12	DT_12	NA	Dhar Tichitt
13	DT_13	NA	Dhar Tichitt
14	DT_14	NA	Dhar Tichitt
15	DT_15	NA	Dhar Tichitt
16	DT_16	NA	Dhar Tichitt
17	DT_17	NA	Dhar Tichitt
18	DT_18	NA	Dhar Tichitt
1	KK_01	2010-1670BC	Karkarichinkat
2	KK_02	2010-1670BC	Karkarichinkat
3	KK_03	2010-1670BC	Karkarichinkat
4	KK_04	2010-1670BC	Karkarichinkat
5	KK_05	2010-1670BC	Karkarichinkat
6	KK_06	2010-1670BC	Karkarichinkat
7	KK_07	2010-1670BC	Karkarichinkat
8	KK_08	2010-1670BC	Karkarichinkat
9	KK_09	2010-1670BC	Karkarichinkat
10	KK_10	2010-1670BC	Karkarichinkat
11	KK_11	2010-1670BC	Karkarichinkat
12	KK_12	2010-1670BC	Karkarichinkat
13	KK_13	2010-1670BC	Karkarichinkat
