ID_by_SFP	ID_site	Period	Site
1	DM-01	500-1000AD	Dia Mara
2	DM-02	500-1000AD	Dia Mara
3	DM-03 	1000-1600AD	Dia Mara
4	DM-04	1000-1600AD	Dia Mara
5	DM-05	1000-1600AD	Dia Mara
6	DM-06	1000-1600AD	Dia Mara
7	DM-07	1000-1600AD	Dia Mara
1	DS-01	800-200BC	Dia Shoma
2	DS-02	800-200BC	Dia Shoma
3	DS-03	800-200BC	Dia Shoma
4	DS-04	800-200BC	Dia Shoma
5	DS-05	800-200BC	Dia Shoma
6	DS-06	800-200BC	Dia Shoma
7	DS-07	800-200BC	Dia Shoma
8	DS-08	800-200BC	Dia Shoma
9	DS-09	800-200BC	Dia Shoma
10	DS-10	800-200BC	Dia Shoma
11	DS-11	1000-1600AD	Dia Shoma
12	DS-12	1000-1600AD	Dia Shoma
13	DS-13	1000-1600AD	Dia Shoma
14	DS-14	1000-1600AD	Dia Shoma
1	JJ-01	250BC-350AD	Jenne-jeno
2	JJ-02	250BC-350AD	Jenne-jeno
3	JJ-03	250BC-350AD	Jenne-jeno
4	JJ-04	250BC-350AD	Jenne-jeno
5	JJ-05	250BC-350AD	Jenne-jeno
6	JJ-06	250BC-350AD	Jenne-jeno
7	JJ-07	250BC-350AD	Jenne-jeno
8	JJ-08	250BC-350AD	Jenne-jeno
9	JJ-09	250BC-350AD	Jenne-jeno
10	JJ-10	250BC-350AD	Jenne-jeno
11	JJ-11	250BC-350AD	Jenne-jeno
12	JJ-12	250BC-350AD	Jenne-jeno
13	JJ-13	350-850AD	Jenne-jeno
14	JJ-14	350-850AD	Jenne-jeno
15	JJ-15	350-850AD	Jenne-jeno
16	JJ-16	350-850AD	Jenne-jeno
17	JJ-17	350-850AD	Jenne-jeno
18	JJ-18	350-850AD	Jenne-jeno
19	JJ-19	350-850AD	Jenne-jeno
20	JJ-20	350-850AD	Jenne-jeno
21	JJ-21	350-850AD	Jenne-jeno
22	JJ-22	350-850AD	Jenne-jeno
23	JJ-23	350-850AD	Jenne-jeno
24	JJ-24	350-850AD	Jenne-jeno
25	JJ-25	350-850AD	Jenne-jeno
26	JJ-26	350-850AD	Jenne-jeno
27	JJ-27	350-850AD	Jenne-jeno
28	JJ-28	350-850AD	Jenne-jeno
29	JJ-29	350-850AD	Jenne-jeno
30	JJ-30	350-850AD	Jenne-jeno
31	JJ-31	850-1400AD	Jenne-jeno
32	JJ-32	850-1400AD	Jenne-jeno
33	JJ-33	850-1400AD	Jenne-jeno
34	JJ-34	850-1400AD	Jenne-jeno
35	JJ-35	850-1400AD	Jenne-jeno
36	JJ-36	850-1400AD	Jenne-jeno
37	JJ-37	850-1400AD	Jenne-jeno
38	JJ-38	850-1400AD	Jenne-jeno
39	JJ-39	850-1400AD	Jenne-jeno
40	JJ-40	850-1400AD	Jenne-jeno
41	JJ-41	850-1400AD	Jenne-jeno
42	JJ-42	850-1400AD	Jenne-jeno
43	JJ-43	850-1400AD	Jenne-jeno
44	JJ-44	850-1400AD	Jenne-jeno
45	JJ-45	850-1400AD	Jenne-jeno
46	JJ-46	850-1400AD	Jenne-jeno
47	JJ-47	850-1400AD	Jenne-jeno
48	JJ-48	850-1400AD	Jenne-jeno
49	JJ-49	850-1400AD	Jenne-jeno
50	JJ-50	850-1400AD	Jenne-jeno
51	JJ-51	850-1400AD	Jenne-jeno
52	JJ-52	850-1400AD	Jenne-jeno
53	JJ-53	850-1400AD	Jenne-jeno
54	JJ-54	850-1400AD	Jenne-jeno
55	JJ-55	850-1400AD	Jenne-jeno
56	JJ-56	350-850AD	Jenne-jeno
57	JJ-57	850-1400AD	Jenne-jeno
58	JJ-58	350-850AD	Jenne-jeno
59	JJ-59	350-850AD	Jenne-jeno
60	JJ-60	350-850AD	Jenne-jeno
61	JJ-61	350-850AD	Jenne-jeno
62	JJ-62	350-850AD	Jenne-jeno
63	JJ-63	850-1400AD	Jenne-jeno
64	JJ-64	850-1400AD	Jenne-jeno
65	JJ-65	850-1400AD	Jenne-jeno
66	JJ-66	850-1400AD	Jenne-jeno
1	KN-01	300-440AD	KNTII
2	KN-02	300-440AD	KNTII
3	KN-03	300-440AD	KNTII
4	KN-04	300-440AD	KNTII
5	KN-05	300-440AD	KNTII
6	KN-06	300-440AD	KNTII
7	KN-07	300-440AD	KNTII
8	KN-08	300-440AD	KNTII
9	KN-09	300-440AD	KNTII
10	KN-10	300-440AD	KNTII
11	KN-11	300-440AD	KNTII
12	KN-12	300-440AD	KNTII
13	KN-13	440-640AD	KNTII
14	KN-14	540-605AD	KNTII
15	KN-15	300-440AD	KNTII
16	KN-16	440-640AD	KNTII
17	KN-17	605-680AD	KNTII
18	KN-18	300-440AD	KNTII
19	KN-19	605-680AD	KNTII
20	KN-20	300-440AD	KNTII
21	KN-21	300-440AD	KNTII
22	KN-22	300-440AD	KNTII
23	KN-23	605-680AD	KNTII
24	KN-24	605-680AD	KNTII
25	KN-25	605-680AD	KNTII
26	KN-26	540-605AD	KNTII
27	KN-27	300-440AD	KNTII
28	KN-28	300-440AD	KNTII
29	KN-29	440-605AD	KNTII
30	KN-30	440-605AD	KNTII
31	KN-31	300-440AD	KNTII
32	KN-32	605-680AD	KNTII
33	KN-33	440-640AD	KNTII
34	KN-34	605-680AD	KNTII
35	KN-35	300-440AD	KNTII
36	KN-36	300-440AD	KNTII
37	KN-37	300-440AD	KNTII
38	KN-38	300-440AD	KNTII
39	KN-39	300-440AD	KNTII
40	KN-40	300-440AD	KNTII
41	KN-41	300-440AD	KNTII
42	KN-42	300-440AD	KNTII
43	KN-43	300-440AD	KNTII
44	KN-44	300-440AD	KNTII
45	KN-45	300-440AD	KNTII
46	KN-46	605-680AD	KNTII
47	KN-47	440-640AD	KNTII
1	KO-01	4230-3820BC	Korounkorokale
2	KO-02	4230-3820BC	Korounkorokale
3	KO-03	890-1160AD	Korounkorokale
4	KO-04	890-1160AD	Korounkorokale
1	OU-01	pre-9400BC	Ounjougou
2	OU-02	2700-2020BC	Ounjougou
3	OU-03	2700-2020BC	Ounjougou
4	OU-04	1800-800BC	Ounjougou
5	OU-05	1800-800BC	Ounjougou
6	OU-06	1800-800BC	Ounjougou
7	OU-07	1800-800BC	Ounjougou
8	OU-08	1800-800BC	Ounjougou
1	TI-01	500-100BC	Timbuktu
2	TI-02	500-100BC	Timbuktu
3	TI-03	650-770AD	Timbuktu
4	TI-04	650-770AD	Timbuktu
5	TI-05	650-770AD	Timbuktu
6	TI-06	650-770AD	Timbuktu
7	TI-07	650-770AD	Timbuktu
8	TI-08	650-770AD	Timbuktu
9	TI-09	650-770AD	Timbuktu
10	TI-10	770-1000AD	Timbuktu
11	TI-11	770-1000AD	Timbuktu
12	TI-12	770-1000AD	Timbuktu
13	TI-13	770-1000AD	Timbuktu
14	TI-14	770-1000AD	Timbuktu
15	TI-15	770-1000AD	Timbuktu
16	TI-16	770-1000AD	Timbuktu
17	TI-17	770-1000AD	Timbuktu
18	TI-18	770-1000AD	Timbuktu
19	TI-19	770-1000AD	Timbuktu
20	TI-20	770-1000AD	Timbuktu
21	TI-21	770-1000AD	Timbuktu
22	TI-22	770-1000AD	Timbuktu
23	TI-23	770-1000AD	Timbuktu
24	TI-24	770-1000AD	Timbuktu
25	TI-25	770-1000AD	Timbuktu
26	TI-26	770-1000AD	Timbuktu
27	TI-27	770-1000AD	Timbuktu
28	TI-28	770-1000AD	Timbuktu
29	TI-29	770-1000AD	Timbuktu
1	TB-01	1295-1430AD	Toubel
2	TB-02	1295-1430AD	Toubel
3	TB-03	1295-1430AD	Toubel
4	TB-04	1295-1430AD	Toubel
5	TB-05	1295-1430AD	Toubel
6	TB-06	1295-1430AD	Toubel
7	TB-07	1295-1430AD	Toubel
8	TB-08	1295-1430AD	Toubel
9	TB-09	1295-1430AD	Toubel
10	TB-10	1295-1430AD	Toubel
11	TB-11	1295-1430AD	Toubel
12	TB-12	1295-1430AD	Toubel
13	TB-14	1295-1430AD	Toubel
1	WK-01	NA	Winde Koroji
2	WK-02	NA	Winde Koroji
3	WK-03	NA	Winde Koroji
4	WK-04	NA	Winde Koroji
5	WK-05	NA	Winde Koroji
6	WK-06	NA	Winde Koroji
7	WK-07	NA	Winde Koroji
8	WK-08	NA	Winde Koroji
9	WK-09	NA	Winde Koroji
10	WK-10	NA	Winde Koroji
11	WK-11	NA	Winde Koroji
12	WK-12	NA	Winde Koroji
13	WK-13	NA	Winde Koroji
14	WK-14	NA	Winde Koroji
15	WK-15	NA	Winde Koroji
16	WK-16	NA	Winde Koroji
17	WK-17	NA	Winde Koroji
1	DT-01	NA	Dhar Tichitt
2	DT-02	NA	Dhar Tichitt
3	DT-03	NA	Dhar Tichitt
4	DT-04	NA	Dhar Tichitt
5	DT-05	NA	Dhar Tichitt
6	DT-06	NA	Dhar Tichitt
7	DT-07	NA	Dhar Tichitt
8	DT-08	NA	Dhar Tichitt
9	DT-09	NA	Dhar Tichitt
10	DT-10	NA	Dhar Tichitt
11	DT-11	NA	Dhar Tichitt
12	DT-12	NA	Dhar Tichitt
13	DT-13	NA	Dhar Tichitt
14	DT-14	NA	Dhar Tichitt
15	DT-15	NA	Dhar Tichitt
16	DT-16	NA	Dhar Tichitt
17	DT-17	NA	Dhar Tichitt
18	DT-18	NA	Dhar Tichitt
1	KK-01	2010-1670BC	Karkarichinkat
2	KK-02	2010-1670BC	Karkarichinkat
3	KK-03	2010-1670BC	Karkarichinkat
4	KK-04	2010-1670BC	Karkarichinkat
5	KK-05	2010-1670BC	Karkarichinkat
6	KK-06	2010-1670BC	Karkarichinkat
7	KK-07	2010-1670BC	Karkarichinkat
8	KK-08	2010-1670BC	Karkarichinkat
9	KK-09	2010-1670BC	Karkarichinkat
10	KK-10	2010-1670BC	Karkarichinkat
11	KK-11	2010-1670BC	Karkarichinkat
12	KK-12	2010-1670BC	Karkarichinkat
13	KK-13	2010-1670BC	Karkarichinkat
